ARTIST NAME,GENDER,NATIONALITY,BIRTH_YEAR,DEATH_YEAR,OBJECT_TITLE,OBJECT_DATE,MEDIUM,PRIMARY_MEDIUM,ACCESSION_NUMBER,ACCESSION_YEAR,STATUS
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Mixed Blueberries,1972-01-01T00:00:00Z,Cut and pasted paper/ graphite/ colored pencils/ watercolor/ and gouache on paper,Painted Materials,1997.404.1,1997-01-01T00:00:00Z,Not on view
Robert Courtright,Male,American,1926-01-01T00:00:00Z,2012-01-01T00:00:00Z,Untitled (CXXXII,1978-01-01T00:00:00Z,Cut and pasted papers mounted on wood,Painted Materials,"1,980.313",1980-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Shirt with Butterfly,1974-01-01T00:00:00Z,Cut and pasted papers/ gouache/ and graphite on paper,Painted Materials,1997.404.11,1997-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Sardines,1975-01-01T00:00:00Z,Cut and pasted printed and embossed metallic papers/ foil/ and painted paper/ gouache/ and graphite on paper,Painted Materials,1997.404.2,1997-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Art Heart,1975-01-01T00:00:00Z,Cut and pasted printed and painted paper/ gouache/ and colored pencils on paper,Painted Materials,1997.404.12,1997-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Tumbler of Flowers,1976-01-01T00:00:00Z,Cut and pasted printed and painted papers and gouache on paper,Painted Materials,1997.404.13,1997-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Cat and Cone,1976-01-01T00:00:00Z,Cut and pasted printed and painted papers/ and gouache on paper,Painted Materials,1997.404.10,1997-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Art Nouveau Fish Bowl,1975-01-01T00:00:00Z,Cut and pasted printed and painted papers/ gouache/ and graphite on paper,Painted Materials,1997.404.9,1997-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Torso with Bandanna,1975-01-01T00:00:00Z,Cut and pasted printed paper/ gouache/ colored pencil/ and ink stamp on paper,Painted Materials,1997.404.15,1997-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Stay Ahead of the Game,1975-01-01T00:00:00Z,Cut and pasted printed paper/ ink markers/ graphite/ and gouache on paper,Painted Materials,1997.404.23,1997-01-01T00:00:00Z,Not on view
Joe Brainard,Male,American,1942-01-01T00:00:00Z,1994-01-01T00:00:00Z,Flower Castle,1977-01-01T00:00:00Z,Cut and pasted printed papers/ ink/ and gouache on paper/ mounted on paper board,Painted Materials,1997.404.19,1997-01-01T00:00:00Z,Not on view
