ARTISTIC_ENTITY,GENDER,NATIONALITY,OBJECT_TITLE,OBJECT_DATE,PRIMARY_MEDIUM,ACCESSION_YEAR,OBJECT_TYPE
Phillip Pavia,Male,American,The Market Place,1968-01-01T00:00:00Z,Marble,1982-01-01T00:00:00Z,Sculpture
Phoebe Adams,Female,American,Pointed Trap,1983-01-01T00:00:00Z,Bronze,1985-01-01T00:00:00Z,Sculpture
Picquasard and Guesdon,Null,Null,Easter Egg,1906-01-01T00:00:00Z,Mixed Media,1951-01-01T00:00:00Z,Sculpture
Pierre Alechinsky,Male,Belgian,Harpo,1964-01-01T00:00:00Z,Oil,1981-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Le Port de Cannes,1935-01-01T00:00:00Z,Gouache,2002-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,The Green Blouse,1919-01-01T00:00:00Z,Oil,1963-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,The Family of Claude Terrasse,1899-01-01T00:00:00Z,Oil,1965-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,From the Balcony,1909-01-01T00:00:00Z,Oil,1966-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,The Terrace at Vernonnet,1939-01-01T00:00:00Z,Oil,1968-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,The Seine at Vernon,1925-01-01T00:00:00Z,Oil,1976-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Woman with Mimosa,1924-01-01T00:00:00Z,Oil,1978-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,"View of The Old Port, Saint-Tropez",1911-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Village Scene/ Grasse,1912-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,The Dressing Room,1914-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Morning in the Garden at Vernonnet,1917-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Pink Bouquet,1930-01-01T00:00:00Z,Oil,1993-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,The Checkered Tablecloth,1916-01-01T00:00:00Z,Oil,1998-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,After the Bath,1910-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,The Dining Room/ Vernonnet,1916-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Basket of Bananas,1926-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Poppies in a Vase,1926-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Garden,1935-01-01T00:00:00Z,Oil,2003-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Seated Nude,1919-01-01T00:00:00Z,Oil,2013-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,Street Scene/ Place Clichy,1895-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Pierre Bonnard,Male,French,The Children's Meal,1895-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Pierre Laprade,Male,French,Woman Sewing,1926-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Pierre Matisse,Male,American,Nature morte au coffret [Copy after Chardin painting],1920-01-01T00:00:00Z,Oil,2002-01-01T00:00:00Z,Painting
Piet Mondrian,Male,Dutch,Composition,1921-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Piet Mondrian,Male,Dutch,Windmill with Summerhouse II,1906-01-01T00:00:00Z,Oil,1991-01-01T00:00:00Z,Painting
Pietro Annigoni,Male,Italian,Gulliver (Portrait of the Artist,1956-01-01T00:00:00Z,Oil,1958-01-01T00:00:00Z,Painting
Pietro Montana,Male,American,SAINT FRANCIS AND THE LEPERS,1957-01-01T00:00:00Z,Bronze,1957-01-01T00:00:00Z,Sculpture
Pol Bury,Male,Belgian,40 Rounded Cylinders on a Base,1969-01-01T00:00:00Z,Brass,1983-01-01T00:00:00Z,Sculpture
Pol Bury,Male,Belgian,Rods on Round Background,1963-01-01T00:00:00Z,Wood,1981-01-01T00:00:00Z,Sculpture
Polygnotos Vagis,Null,American,Sleep,1931-01-01T00:00:00Z,Quartz,1955-01-01T00:00:00Z,Sculpture
Preston Dickinson,Male,American,Interior,1924-01-01T00:00:00Z,Oil,1971-01-01T00:00:00Z,Painting
Preston Dickinson,Male,American,Vase of Flowers,1926-01-01T00:00:00Z,Oil,1995-01-01T00:00:00Z,Painting
Preston Dickinson,Male,American,Still Life,1924-01-01T00:00:00Z,Oil,1954-01-01T00:00:00Z,Painting
Priscilla Roberts,Female,American,Letters,1956-01-01T00:00:00Z,Oil,1957-01-01T00:00:00Z,Painting
Priscilla Roberts,Female,American,Plumage,1948-01-01T00:00:00Z,Oil,1950-01-01T00:00:00Z,Painting
Priscilla Roberts,Female,American,Carpet Bag Days,1952-01-01T00:00:00Z,Oil,1953-01-01T00:00:00Z,Painting
Priscilla Roberts,Female,American,Still Life,1938-01-01T00:00:00Z,Oil,1966-01-01T00:00:00Z,Painting
R.B. Kitaj,Male,American,Shanghai Gestures,1968-01-01T00:00:00Z,Oil,1982-01-01T00:00:00Z,Painting
R.B. Kitaj,Male,American,John Ford on His Deathbed,1983-01-01T00:00:00Z,Oil,1986-01-01T00:00:00Z,Painting
R.B. Kitaj,Male,American,Moonlightist,1998-01-01T00:00:00Z,Oil,2004-01-01T00:00:00Z,Painting
Rachel Whiteread,Female,British,Untitled (Pair),1999-01-01T00:00:00Z,Bronze,2001-01-01T00:00:00Z,Sculpture
Rackstraw Downes,Male,American,IRT Elevated Station at Broadway and 125th Street,1981-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Rackstraw Downes,Male,American,Lincolnville Beach,1977-01-01T00:00:00Z,Oil,2003-01-01T00:00:00Z,Painting
Rackstraw Downes,Male,American,The Cotton Club From Under the Viaduct at Riverside Drive and St. Clair Place,2003-01-01T00:00:00Z,Oil,2005-01-01T00:00:00Z,Painting
Radcliffe Bailey,Male,American,Untitled,2005-01-01T00:00:00Z,Mixed Media,2012-01-01T00:00:00Z,Painting
Rafael Ferrer,Male,American,Remembrance of an Afternoon on the Way,1983-01-01T00:00:00Z,Oil,1983-01-01T00:00:00Z,Painting
Rafael Ferrer,Male,American,Merengue en Boca Chica,1983-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Rafael Ferrer,Male,American,Abstract,1998-01-01T00:00:00Z,Oil,2000-01-01T00:00:00Z,Painting
Rafael Ferrer,Male,American,Traitor Series/ Number 2,1979-01-01T00:00:00Z,Oil Pastel,1980-01-01T00:00:00Z,Painting
Ralph Fasanella,Male,American,S. Klein,1949-01-01T00:00:00Z,Oil,2001-01-01T00:00:00Z,Painting
Ralph Hamilton,Male,American,Fay Chandler,1983-01-01T00:00:00Z,Oil,1985-01-01T00:00:00Z,Painting
Ralph Mayer,Male,American,Williamsburg,1939-01-01T00:00:00Z,Oil,1983-01-01T00:00:00Z,Painting
Ralph Menconi,Male,American,Liberty/Jefferson,Null,Bronze,1967-01-01T00:00:00Z,Sculpture
Ralph Rosenborg,Male,American,Landscape: Land of the American Indian,1941-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Ralston Crawford,Male,American,New Orleans/ Number 10,1958-01-01T00:00:00Z,Oil,1991-01-01T00:00:00Z,Painting
Randall Deihl,Male,American,Sweets,1980-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Randall Schmit,Male,American,Visitation,1988-01-01T00:00:00Z,Acrylic,1988-01-01T00:00:00Z,Painting
Randy Dudley,Male,American,Verifying Dissonant Statistics,1981-01-01T00:00:00Z,Oil,1983-01-01T00:00:00Z,Painting
Raoul Dufy,Male,French,The Lighthouse at Honfleur,1928-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Raoul Dufy,Male,French,Model in the Artist's Studio,1928-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Raoul Dufy,Male,French,Dusk at La Baie des Anges/ Nice,1932-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Raoul Hague,Male,American,Big Indian Mountain,1965-01-01T00:00:00Z,Wood,1974-01-01T00:00:00Z,Sculpture
